Código do município (IBGE);Nome do município;Região de Planejamento
2300101;Abaiara;Cariri
2300150;Acarape;Maciço de Baturité
2300200;Acaraú;Litoral Norte
2300309;Acopiara;Centro Sul
2300408;Aiuaba;Sertão dos Inhamuns
2300507;Alcântaras;Sertão de Sobral
2300606;Altaneira;Cariri
2300705;Alto Santo;Vale do Jaguaribe
2300754;Amontada;Litoral Oeste / Vale do Curu
2300804;Antonina do Norte;Cariri
2300903;Apuiarés;Litoral Oeste / Vale do Curu
2301000;Aquiraz;Grande Fortaleza
2301109;Aracati;Litoral Leste
2301208;Aracoiaba;Maciço de Baturité
2301257;Ararendá;Sertão dos Crateús
2301307;Araripe;Cariri
2301406;Aratuba;Maciço de Baturité
2301505;Arneiroz;Sertão dos Inhamuns
2301604;Assaré;Cariri
2301703;Aurora;Cariri
2301802;Baixio;Centro Sul
2301851;Banabuiú;Sertão Central
2301901;Barbalha;Cariri
2301950;Barreira;Maciço de Baturité
2302008;Barro;Cariri
2302057;Barroquinha;Litoral Norte
2302107;Baturité;Maciço de Baturité
2302206;Beberibe;Litoral Leste
2302305;Bela Cruz;Litoral Norte
2302404;Boa Viagem;Sertão de Canindé
2302503;Brejo Santo;Cariri
2302602;Camocim;Litoral Norte
2302701;Campos Sales;Cariri
2302800;Canindé;Sertão de Canindé
2302909;Capistrano;Maciço de Baturité
2303006;Caridade;Sertão de Canindé
2303105;Cariré;Sertão de Sobral
2303204;Caririaçu;Cariri
2303303;Cariús;Centro Sul
2303402;Carnaubal;Serra da Ibiapaba
2303501;Cascavel;Grande Fortaleza
2303600;Catarina;Centro Sul
2303659;Catunda;Sertão dos Crateús
2303709;Caucaia;Grande Fortaleza
2303808;Cedro;Centro Sul
2303907;Chaval;Litoral Norte
2303931;Choró;Sertão Central
2303956;Chorozinho;Grande Fortaleza
2304004;Coreaú;Sertão de Sobral
2304103;Crateús;Sertão dos Crateús
2304202;Crato;Cariri
2304236;Croatá;Serra da Ibiapaba
2304251;Cruz;Litoral Norte
2304269;Deputado Irapuan Pinheiro;Sertão Central
2304277;Ererê;Vale do Jaguaribe
2304285;Eusébio;Grande Fortaleza
2304301;Farias Brito;Cariri
2304350;Forquilha;Sertão de Sobral
2304400;Fortaleza;Grande Fortaleza
2304459;Fortim;Litoral Leste
2304509;Frecheirinha;Sertão de Sobral
2304608;General Sampaio;Litoral Oeste / Vale do Curu
2304657;Graça;Sertão de Sobral
2304707;Granja;Litoral Norte
2304806;Granjeiro;Cariri
2304905;Groaíras;Sertão de Sobral
2304954;Guaiúba;Grande Fortaleza
2305001;Guaraciaba do Norte;Serra da Ibiapaba
2305100;Guaramiranga;Maciço de Baturité
2305209;Hidrolândia;Sertão dos Crateús
2305233;Horizonte;Grande Fortaleza
2305266;Ibaretama;Sertão Central
2305308;Ibiapina;Serra da Ibiapaba
2305332;Ibicuitinga;Sertão Central
2305357;Icapuí;Litoral Leste
2305407;Icó;Centro Sul
2305506;Iguatu;Centro Sul
2305605;Independência;Sertão dos Crateús
2305654;Ipaporanga;Sertão dos Crateús
2305704;Ipaumirim;Centro Sul
2305803;Ipu;Serra da Ibiapaba
2305902;Ipueiras;Sertão dos Crateús
2306009;Iracema;Vale do Jaguaribe
2306108;Irauçuba;Litoral Oeste / Vale do Curu
2306207;Itaiçaba;Litoral Leste
2306256;Itaitinga;Grande Fortaleza
2306306;Itapajé;Litoral Oeste / Vale do Curu
2306405;Itapipoca;Litoral Oeste / Vale do Curu
2306504;Itapiúna;Maciço de Baturité
2306553;Itarema;Litoral Norte
2306603;Itatira;Sertão de Canindé
2306702;Jaguaretama;Vale do Jaguaribe
2306801;Jaguaribara;Vale do Jaguaribe
2306900;Jaguaribe;Vale do Jaguaribe
2307007;Jaguaruana;Litoral Leste
2307106;Jardim;Cariri
2307205;Jati;Cariri
2307254;Jijoca de Jericoacoara;Litoral Norte
2307304;Juazeiro do Norte;Cariri
2307403;Jucás;Centro Sul
2307502;Lavras da Mangabeira;Cariri
2307601;Limoeiro do Norte;Vale do Jaguaribe
2307635;Madalena;Sertão de Canindé
2307650;Maracanaú;Grande Fortaleza
2307700;Maranguape;Grande Fortaleza
2307809;Marco;Litoral Norte
2307908;Martinópole;Litoral Norte
2308005;Massapê;Sertão de Sobral
2308104;Mauriti;Cariri
2308203;Meruoca;Sertão de Sobral
2308302;Milagres;Cariri
2308351;Milhã;Sertão Central
2308377;Miraíma;Litoral Oeste / Vale do Curu
2308401;Missão Velha;Cariri
2308500;Mombaça;Sertão Central
2308609;Monsenhor Tabosa;Sertão dos Crateús
2308708;Morada Nova;Vale do Jaguaribe
2308807;Moraújo;Sertão de Sobral
2308906;Morrinhos;Litoral Norte
2309003;Mucambo;Sertão de Sobral
2309102;Mulungu;Maciço de Baturité
2309201;Nova Olinda;Cariri
2309300;Nova Russas;Sertão dos Crateús
2309409;Novo Oriente;Sertão dos Crateús
2309458;Ocara;Maciço de Baturité
2309508;Orós;Centro Sul
2309607;Pacajus;Grande Fortaleza
2309706;Pacatuba;Grande Fortaleza
2309805;Pacoti;Maciço de Baturité
2309904;Pacujá;Sertão de Sobral
2310001;Palhano;Vale do Jaguaribe
2310100;Palmácia;Maciço de Baturité
2310209;Paracuru;Grande Fortaleza
2310258;Paraipaba;Grande Fortaleza
2310308;Parambu;Sertão dos Inhamuns
2310407;Paramoti;Sertão de Canindé
2310506;Pedra Branca;Sertão Central
2310605;Penaforte;Cariri
2310704;Pentecoste;Litoral Oeste / Vale do Curu
2310803;Pereiro;Vale do Jaguaribe
2310852;Pindoretama;Grande Fortaleza
2310902;Piquet Carneiro;Sertão Central
2310951;Pires Ferreira;Sertão de Sobral
2311009;Poranga;Sertão dos Crateús
2311108;Porteiras;Cariri
2311207;Potengi;Cariri
2311231;Potiretama;Vale do Jaguaribe
2311264;Quiterianópolis;Sertão dos Inhamuns
2311306;Quixadá;Sertão Central
2311355;Quixelô;Centro Sul
2311405;Quixeramobim;Sertão Central
2311504;Quixeré;Vale do Jaguaribe
2311603;Redenção;Maciço de Baturité
2311702;Reriutaba;Sertão de Sobral
2311801;Russas;Vale do Jaguaribe
2311900;Saboeiro;Centro Sul
2311959;Salitre;Cariri
2312205;Santa Quitéria;Sertão dos Crateús
2312007;Santana do Acaraú;Sertão de Sobral
2312106;Santana do Cariri;Cariri
2312304;São Benedito;Serra da Ibiapaba
2312403;São Gonçalo do Amarante;Grande Fortaleza
2312502;São João do Jaguaribe;Vale do Jaguaribe
2312601;São Luís do Curu;Grande Fortaleza
2312700;Senador Pompeu;Sertão Central
2312809;Senador Sá;Sertão de Sobral
2312908;Sobral;Sertão de Sobral
2313005;Solonópole;Sertão Central
2313104;Tabuleiro do Norte;Vale do Jaguaribe
2313203;Tamboril;Sertão dos Crateús
2313252;Tarrafas;Cariri
2313302;Tauá;Sertão dos Inhamuns
2313351;Tejuçuoca;Litoral Oeste / Vale do Curu
2313401;Tianguá;Serra da Ibiapaba
2313500;Trairi;Grande Fortaleza
2313559;Tururu;Litoral Oeste / Vale do Curu
2313609;Ubajara;Serra da Ibiapaba
2313708;Umari;Centro Sul
2313757;Umirim;Litoral Oeste / Vale do Curu
2313807;Uruburetama;Litoral Oeste / Vale do Curu
2313906;Uruoca;Litoral Norte
2313955;Varjota;Sertão de Sobral
2314003;Várzea Alegre;Cariri
2314102;Viçosa do Ceará;Serra da Ibiapaba
